test,arch,platform,passed,status,extra_args,qemu,qemu_time,ram_size,rom_size
tests/benchmark/footprint/nanokernel/footprint-float,x86,minnowboard,True,,TEST=float,False,,17127,12923
tests/kernel/test_pipe/test,arm,stm32_mini_a15,True,,,False,,14876,25800
tests/kernel/test_mail/test,arm,stm32_mini_a15,True,,,False,,13140,23216
samples/bluetooth/beacon/test_arm,arm,nucleo_f103rb,True,,,False,,12288,26476
tests/kernel/test_task_priv/test,arm,qemu_cortex_m3,True,,,True,3.025494337081909,10676,12968
tests/benchmark/footprint/microkernel/footprint-min,arm,arduino_due,True,,TEST=min,False,,1512,6988
tests/benchmark/footprint/nanokernel/footprint-reg,arm,qemu_cortex_m3,True,,TEST=reg,True,,1752,4288
tests/kernel/test_map/test,x86,quark_se_devboard,True,,,False,,14628,21732
tests/kernel/test_fifo/nanokernel/test,arc,arduino_101_sss,True,,,False,,8084,18188
tests/bluetooth/init/test_h5,x86,qemu_x86,True,,CONF_FILE=prj_h5.conf,True,,34434,24914
tests/kernel/test_map/test,arm,frdm_k64f,True,,,False,,13092,15796
tests/bluetooth/shell/test_arm_nano,arm,nucleo_f103rb,True,,KERNEL_TYPE=nano,False,,18076,82852
tests/kernel/test_errno/test,x86,qemu_x86,True,,,True,0.2526700496673584,12600,8900
samples/bluetooth/peripheral_esp/test_arm,arm,qemu_cortex_m3,True,,,True,,14992,45624
tests/bluetooth/init/test_h5,arm,olimexino_stm32,True,,CONF_FILE=prj_h5.conf,False,,12472,22540
samples/bluetooth/peripheral_hr/test_x86,x86,qemu_x86,True,,,True,,76071,64279
tests/bluetooth/init/test_9,arm,qemu_cortex_m3,True,,CONF_FILE=prj_9.conf,True,,13816,42744
tests/bluetooth/init/test_h5,arm,qemu_cortex_m3,True,,CONF_FILE=prj_h5.conf,True,,12120,19992
samples/synchronization/nanokernel/test,arc,quark_se_sss_devboard,True,,,False,,6352,10760
tests/kernel/test_events/test,x86,qemu_x86,True,,,True,0.4344370365142822,26225,16641
tests/kernel/test_rand32/test,arm,olimexino_stm32,True,,,False,,8772,13180
tests/bluetooth/test_bluetooth/test_nano,x86,arduino_101,True,,KERNEL_TYPE=nano,False,,8316,22362
samples/philosophers/nanokernel/test,arm,olimexino_stm32,True,,,False,,9848,8736
samples/kernel_event_logger/microkernel/test,x86,quark_se_devboard,True,,,False,,22172,25859
tests/bluetooth/test_bluetooth/test_micro,arm,olimexino_stm32,True,,,False,,11808,23396
tests/bluetooth/init/test_4,x86,qemu_x86,True,,CONF_FILE=prj_4.conf,True,,57714,48098
tests/bluetooth/init/test_10,x86,qemu_x86_iamcu,True,,CONF_FILE=prj_10.conf,True,,61603,51923
tests/bluetooth/shell/test_x86,x86,minnowboard,True,,,False,,121363,105091
tests/kernel/test_static_idt/nanokernel/test,x86,minnowboard,True,,,False,,12002,8334
tests/crypto/test_aes/test,x86,qemu_x86,True,,,True,0.2591366767883301,36516,26972
tests/bluetooth/init/test_5,x86,minnowboard,True,,CONF_FILE=prj_5.conf,False,,59584,49968
tests/bluetooth/init/test_nano,x86,galileo,True,,KERNEL_TYPE=nano,False,,51086,42014
samples/bluetooth/beacon/test_arm,arm,qemu_cortex_m3,True,,,True,,11988,23968
tests/bluetooth/init/test_15,x86,qemu_x86_iamcu,True,,CONF_FILE=prj_15.conf,True,,61109,51461
tests/kernel/test_task_priv/test,x86,arduino_101,True,,,False,,12672,21724
tests/kernel/test_events/test,arm,arduino_due,True,,,False,,11548,13840
samples/bluetooth/peripheral_dis/test_arm,arm,qemu_cortex_m3,True,,,True,,13128,31236
tests/kernel/test_events/test,x86,qemu_x86_iamcu,True,,,True,0.40854454040527344,25741,16161
tests/kernel/test_xip/nanokernel/test,x86,qemu_x86,True,,,True,0.8083934783935547,3332,7446
tests/kernel/test_slist/test,x86,qemu_x86,True,,,True,0.23160195350646973,12253,9097
tests/benchmark/footprint/microkernel/footprint-reg,x86,quark_se_devboard,True,,TEST=reg,False,,7892,21079
tests/bluetooth/init/test_11,arm,nucleo_f103rb,True,,CONF_FILE=prj_11.conf,False,,14104,47224
samples/drivers/i2c_fujitsu_fram/test,arc,arduino_101_sss,True,,,False,,4380,9072
tests/kernel/test_build/test_debug,x86,arduino_101,True,,CONF_FILE=debug.conf,False,,7260,22382
tests/bluetooth/init/test_10,x86,arduino_101,True,,CONF_FILE=prj_10.conf,False,,16060,59548
tests/bluetooth/init/test_2,x86,minnowboard,True,,CONF_FILE=prj_2.conf,False,,47131,38059
tests/kernel/test_map/test,arm,arduino_due,True,,,False,,12560,13308
tests/crypto/test_cbc/test,arm,qemu_cortex_m3,True,,,True,0.018350839614868164,7372,14148
